gen,trial,p_old,alpha_old,beta_old,gamma_old,omega_old,sigma_now,sample_vol,alpha_new,beta_new,gamma_new,p_new,vol_inf_current_impl,ratio_inf_to_sigma
lowvol_trap,1,1.000007,4.446708201265119e-06,0.9999999280553837,4.278364157650895e-06,5.506534506291994e-10,0.0006766345573056835,0.000532640275019817,4.357745651121429e-06,0.9799935458695674,4.192769563024763e-06,0.9800000000000001,0.00016592972166390235,0.2452279740553366
lowvol_trap,11,1.0,0.0,0.0,2.0,3.7387324487528326e-07,0.0006114517518784972,0.0006921169412005123,0.0,0.0,1.96,0.98,0.004323616801216794,7.07106781186547
lowvol_trap,18,1.0,0.0,0.6849450391140023,0.630109980702632,7.265138530057556e-08,0.0005265903163058977,0.0005280768522391466,0.0,0.6712461185532418,0.6175077628935167,0.9800000000000002,0.0019059300262677051,3.619379178177947
lowvol_trap,43,1.0,0.4065442516274304,0.6890379525050426,-0.1911644082643581,1.603587974642572e-07,0.0007465376184409689,0.0012007953499539525,0.3984133665947647,0.6752571934547432,-0.18734112009901585,0.9800000000000001,0.0028315967003111333,3.792972558066793
lowvol_trap,46,1.000001,0.0,0.8753076436629358,0.24938713040050775,7.449119988783058e-08,0.0007790818623648127,0.0010428419559084749,0.0,0.8578004538262844,0.2443990923474313,0.9800000000000001,0.001929911913635321,2.4771619092469908
lowvol_trap,48,1.0,1.619585182514857e-08,8.5719711019141e-09,1.9999999982708583,2.0199536646073042e-07,0.00044943894904485505,0.0006452271054885926,1.5871934409254752e-08,8.400531479075798e-09,1.9599999514550681,0.98,0.003178013266655209,7.071067768846255
lowvol_trap,59,1.0,0.0,0.5271639908956305,0.9456720238112676,6.981115035101406e-08,0.0005017269519305275,0.0005329452678104261,0.0,0.5166207096305268,0.9267585807389465,0.98,0.0018683033794196005,3.7237453005679835
lowvol_trap,64,1.000119,0.0,0.9663699755360591,0.06749852390250023,1.195810990732797e-08,0.0006261589234539558,0.000874713832015711,0.0,0.9469296665112445,0.06614066697751088,0.98,0.0007732434903485434,1.2348997377267328
lowvol_trap,68,1.000015,0.8630600374311371,0.5684884556700033,-0.8630677511975526,1.959501547324916e-07,0.0006898193624586941,0.0008170352320570594,0.84578647339674,0.557110542991924,-0.8457940327773279,0.9800000000000001,0.003130097081022348,4.5375604852056854
lowvol_trap,81,1.0,0.0,0.0,2.0,1.253390258604705e-07,0.0006000636999363717,0.000768669252668203,0.0,0.0,1.96,0.98,0.0025033879629461193,4.171870358449558
