gen,trial,p_old,omega_old,sigma_now,sample_vol,p_new,vol_inf_current_impl,ratio_inf_to_sigma,ratio_inf_to_sample,omega_sigma_anchor,omega_sample_anchor
lowvol_trap,1,1.000007,5.506534506291994e-10,0.0006766345573056835,0.000532640275019817,0.9800000000000001,0.00016592972166390235,0.2452279740553366,0.31152304744084347,9.156686482805125e-09,5.674113251463698e-09
lowvol_trap,11,1.0,3.7387324487528326e-07,0.0006114517518784972,0.0006921169412005123,0.98,0.004323616801216794,7.07106781186547,6.246945485422246,7.477464897505674e-09,9.580517205935075e-09
lowvol_trap,18,1.0,7.265138530057556e-08,0.0005265903163058977,0.0005280768522391466,0.9800000000000002,0.0019059300262677051,3.619379178177947,3.609190628572713,5.545947224542851e-09,5.5773032374160525e-09
lowvol_trap,43,1.0,1.603587974642572e-07,0.0007465376184409689,0.0012007953499539525,0.9800000000000001,0.0028315967003111333,3.792972558066793,2.358100987332869,1.1146368314950222e-08,2.8838189449420568e-08
lowvol_trap,46,1.000001,7.449119988783058e-08,0.0007790818623648127,0.0010428419559084749,0.9800000000000001,0.001929911913635321,2.4771619092469908,1.8506274154975597,1.2139370965316444e-08,2.1750386900060168e-08
lowvol_trap,48,1.0,2.0199536646073042e-07,0.00044943894904485505,0.0006452271054885926,0.98,0.003178013266655209,7.071067768846255,4.9254181041397604,4.03990737837088e-09,8.326360353143757e-09
lowvol_trap,59,1.0,6.981115035101406e-08,0.0005017269519305275,0.0005329452678104261,0.98,0.0018683033794196005,3.7237453005679835,3.5056196053591275,5.034598685869962e-09,5.680613169630542e-09
lowvol_trap,64,1.000119,1.195810990732797e-08,0.0006261589234539558,0.000874713832015711,0.98,0.0007732434903485434,1.2348997377267328,0.8839959562165183,7.841499948420345e-09,1.5302485758392206e-08
lowvol_trap,68,1.000015,1.959501547324916e-07,0.0006898193624586941,0.0008170352320570594,0.9800000000000001,0.003130097081022348,4.5375604852056854,3.8310429687856487,9.517015056458337e-09,1.3350931408450596e-08
lowvol_trap,81,1.0,1.253390258604705e-07,0.0006000636999363717,0.000768669252668203,0.98,0.0025033879629461193,4.171870358449558,3.2567817097618574,7.2015288796265664e-09,1.1817048399949886e-08
lowvol_trap,83,1.0,8.97037218965355e-07,0.0009949655832767706,0.0010372441464965717,0.98,0.006697153197312102,6.731040057944545,6.456679673664698,1.9799130238105705e-08,2.1517508388828046e-08
lowvol_trap,89,1.000005,7.734179503044282e-10,0.0007864591047135118,0.0006319314271723119,0.98,0.00019664917369575032,0.25004373719773376,0.3111875201011786,1.2370358467735581e-08,7.986746572960706e-09
lowvol_trap,97,1.00082,8.594360394428555e-10,0.0013089515230607198,0.0006049694986590714,0.9800000000000001,0.00020729641090029268,0.15836828732631117,0.3426559708543486,3.42670817944594e-08,7.31976188615613e-09
lowvol_trap,99,1.000006,1.029049096698349e-07,0.0006886002775765108,0.0007414689086305422,0.9800000000000002,0.0022683133565475026,3.2940930034630562,3.0592157407341185,9.483406845568856e-09,1.0995522849315236e-08
lowvol_trap,100,1.0,1.3725002858533914e-07,0.0012059678185735339,0.0006639108396649661,0.98,0.002619637652284558,2.172228488968444,3.945767256348042,2.908716758870018e-08,8.815552060492814e-09
lowvol_trap,101,1.000001,1.4203745656339095e-08,0.0003799502599798509,0.0005809572466950183,0.98,0.0008427261018960753,2.217990591559974,1.4505819605319017,2.8872440011751284e-09,6.750226449749131e-09
lowvol_trap,106,1.000011,2.153415812969925e-09,0.001290080566306672,0.0006772079720927675,0.9799999999999999,0.00032813227614560494,0.25435022022307,0.4845369364621946,3.328615735124309e-08,9.17221274932003e-09
lowvol_trap,107,1.003531,4.134509739339054e-09,0.0004015951213387534,0.0004648073837426982,0.98,0.0004546707456687229,1.132162024660651,0.9781917447344456,3.2255728296617647e-09,4.320918079634641e-09
lowvol_trap,115,1.000083,1.8631150528751625e-09,0.0012084681916861644,0.0008701763297611654,0.98,0.00030521427332901393,0.2525629349856129,0.3507499145751128,2.920790740634459e-08,1.5144136897532264e-08
lowvol_trap,116,1.000098,3.781092014821413e-09,0.0017125908286513406,0.0008384936769624026,0.98,0.00043480409466916303,0.2538867354624162,0.518553814555073,5.865934692761376e-08,1.4061432926118613e-08
lowvol_trap,132,1.000316,6.40629108876454e-09,0.0007070344670327321,0.0006968966901874149,0.98,0.0005659633861286671,0.800474959168385,0.8121194921681487,9.9979547514452e-09,9.713299935883484e-09
