date,Close
2012-01-02,100.0
2012-01-03,99.99515828154236
2012-01-04,100.82214415873341
2012-01-05,100.46584204135527
2012-01-06,100.95573786085016
2012-01-09,100.59859267238996
2012-01-10,101.00388616665845
2012-01-11,99.46012452649748
2012-01-12,99.14437130339834
2012-01-13,97.82453780482638
2012-01-16,98.56918770639389
2012-01-17,99.89208040442975
2012-01-18,100.77882567347065
2012-01-19,100.87798429883608
2012-01-20,101.4528926119759
2012-01-23,100.26867108533611
2012-01-24,99.00467149108142
2012-01-25,99.38740446475973
2012-01-26,99.08502770732001
2012-01-27,98.05676870681353
2012-01-30,98.36900386648696
2012-01-31,100.64779474203502
2012-02-01,99.76176035656232
2012-02-02,101.17945802783422
2012-02-03,98.6923734674103
2012-02-06,98.50276669081812
2012-02-07,100.28874358762299
2012-02-08,97.9616678594353
2012-02-09,98.16683728560427
2012-02-10,97.8778360188943
2012-02-13,97.2929808307442
2012-02-14,96.76575837649128
2012-02-15,97.95278051656274
2012-02-16,95.4456356778283
2012-02-17,95.32885937104744
2012-02-20,96.6035281732659
2012-02-21,96.79668144651335
2012-02-22,95.45536854479542
2012-02-23,96.48653593850298
2012-02-24,95.72680562143073
2012-02-27,95.0986521840739
2012-02-28,95.79350178890368
2012-02-29,95.65952110620196
2012-03-01,98.33446539895883
2012-03-02,97.10889525975436
2012-03-05,98.32643230988802
2012-03-06,98.72669727675162
2012-03-07,96.86222140045417
2012-03-08,97.81348794840716
2012-03-09,97.52573736005048
2012-03-12,98.70923076432277
2012-03-13,97.88265726844536
2012-03-14,96.8729289990555
2012-03-15,95.99902771108823
2012-03-16,96.12419906439185
2012-03-19,94.10436034172871
2012-03-20,93.89893079606921
2012-03-21,95.5482852141019
2012-03-22,97.67465480077607
2012-03-23,100.43731895370011
2012-03-26,102.05225964241968
2012-03-27,106.21122660343293
2012-03-28,106.64304082400373
2012-03-29,105.20433374615314
2012-03-30,107.29048148627342
2012-04-02,109.70341679383262
2012-04-03,107.9981875383421
2012-04-04,106.29830944412235
2012-04-05,104.73480202187883
2012-04-06,103.27168308579688
2012-04-09,104.13932441067377
2012-04-10,105.49409761953493
2012-04-11,105.69620676527529
2012-04-12,104.82299425190669
2012-04-13,104.15680455714175
2012-04-16,103.2652273587945
2012-04-17,101.48795942748299
2012-04-18,100.42736797127677
2012-04-19,102.2655850914137
2012-04-20,104.47592249928361
2012-04-23,105.08913923521865
2012-04-24,105.19974539053023
2012-04-25,103.85295856790329
2012-04-26,103.86913236657018
2012-04-27,103.33265102424592
2012-04-30,103.0868566487064
2012-05-01,101.35993661624883
2012-05-02,102.57402179333397
2012-05-03,102.89062619083109
2012-05-04,103.17363949166203
2012-05-07,102.73804190987359
2012-05-08,102.14053202286128
2012-05-09,101.68682364211183
2012-05-10,101.44676890939772
2012-05-11,101.17952967661117
2012-05-14,100.7448219200147
2012-05-15,101.23627544914868
2012-05-16,102.15134785766502
2012-05-17,101.52758084763866
2012-05-18,100.7500983365097
2012-05-21,100.63563672400322
2012-05-22,100.20180730643034
2012-05-23,100.43563023508032
2012-05-24,101.02542073990703
2012-05-25,102.33999474694056
2012-05-28,102.9193185484152
2012-05-29,103.04809280276963
